Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ad_numt;ad_numl;rc_clacul;ad_k604;ad_k605;ad_k606;ad_k607;ad_k609;ad_k610;ad_k611;ad_k612;ad_k614;ad_autoconsumo;ad_clavecu;ad_prod;ventas;ad_tn;fact_exp_fin
01015701001030001; AZUAY;01;00103;0001;1;1;GUANABANA;30;1200;UNIDAD;4;FRUTA FRESCA;1100;UNIDAD;4;FRUTA FRESCA;100;GUANABANA;2,18181818181818;2;TOTAL NACIONAL;31,0889572847943
01015701001030001; AZUAY;01;00103;0001;1;2;NARANJA;3;150;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;150;NARANJA;,0204545454545455; ;TOTAL NACIONAL;31,0889572847943
01056101024340001; AZUAY;01;02434;0001;2;1;MANZANA;6;2;CANASTA;15;FRUTA FRESCA; ; ; ; ;2;MANZANA;,0136363636363636; ;TOTAL NACIONAL;281,90696090106
01056101024340001; AZUAY;01;02434;0001;2;2;OTROS PERMANENTES;2;2;CANASTA;20;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;281,90696090106
01056101024340003; AZUAY;01;02434;0003;1;1;GRANADILLA;10;4;BALDE;10;FRUTA FRESCA; ; ; ; ;4;OTROS PERMANENTES;,0181818181818182; ;TOTAL NACIONAL;42,0343908740055
01056101024340003; AZUAY;01;02434;0003;3;2;DURAZNO (MELOCOTON);6;4;CANASTA;8;FRUTA FRESCA; ; ; ; ;4;DURAZNO (MELOCOTON);,0145454545454545; ;TOTAL NACIONAL;122,784668079332
01056101024340006; AZUAY;01;02434;0006;1;1;GRANADILLA;6;1000;UNIDAD;,2;FRUTA FRESCA;950;UNIDAD;,2;FRUTA FRESCA;50;OTROS PERMANENTES;,0909090909090909;,0863636363636364;TOTAL NACIONAL;71,0794175224893
01056101024340007; AZUAY;01;02434;0007;3;1;OTROS PERMANENTES;5;5;BALDE;10;SIN ESTADO; ; ; ; ;5;OTROS PERMANENTES;,0227272727272727; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;2;LIMON;5;3;BALDE;15;FRUTA FRESCA; ; ; ; ;3;LIMON;,0204545454545455; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;3;DURAZNO (MELOCOTON);3;10;BALDE;15;FRUTA FRESCA; ; ; ; ;10;DURAZNO (MELOCOTON);,0681818181818182; ;TOTAL NACIONAL;53,5385399553122
01056101024340007; AZUAY;01;02434;0007;3;4;CHIRIMOYA;2;20;UNIDAD;,25;FRUTA FRESCA; ; ; ; ;20;CHIRIMOYA;,00227272727272727; ;TOTAL NACIONAL;53,5385399553122
01056101024340008; AZUAY;01;02434;0008;1;1;DURAZNO (MELOCOTON);5;100;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00454545454545455; ;TOTAL NACIONAL;92,0885010594988
01056101024340008; AZUAY;01;02434;0008;1;2;OTROS PERMANENTES;4;2;BALDE;15;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,0136363636363636; ;TOTAL NACIONAL;92,0885010594988
01056101024340009; AZUAY;01;02434;0009;1;1;OTROS PERMANENTES;3;9;BALDE;15;SIN ESTADO;9;BALDE;15;SIN ESTADO; ;OTROS PERMANENTES;,0613636363636364;,0613636363636364;TOTAL NACIONAL;34,1920399087645
01056101024340009; AZUAY;01;02434;0009;2;2;DURAZNO (MELOCOTON);3;9;BALDE;15;FRUTA FRESCA;9;BALDE;15;FRUTA FRESCA; ;DURAZNO (MELOCOTON);,0613636363636364;,0613636363636364;TOTAL NACIONAL;279,418082494047
01055001028170001; AZUAY;01;02817;0001;5;1;OTROS PERMANENTES;4;200;UNIDAD;,2;SIN ESTADO;150;UNIDAD;,2;SIN ESTADO;50;OTROS PERMANENTES;,0181818181818182;,0136363636363636;TOTAL NACIONAL;957,720411018788
01055001028170001; AZUAY;01;02817;0001;5;2;DURAZNO (MELOCOTON);2;100;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00909090909090909; ;TOTAL NACIONAL;957,720411018788
01055001028170002; AZUAY;01;02817;0002;2;1;TOMATE DE ARBOL;6;10;GALON;5;FRUTA FRESCA; ; ; ; ;10;TOMATE DE ARBOL;,0227272727272727; ;TOTAL NACIONAL;56,0495417259436
01055001028170003; AZUAY;01;02817;0003;3;1;OTROS PERMANENTES;2;40;UNIDAD;,1;SIN ESTADO; ; ; ; ;40;OTROS PERMANENTES;,00181818181818182; ;TOTAL NACIONAL;58,6047902238108
01055001028170004; AZUAY;01;02817;0004;3;1;OTROS PERMANENTES;3;100;UNIDAD;,1;SIN ESTADO; ; ; ; ;100;OTROS PERMANENTES;,00454545454545455; ;TOTAL NACIONAL;99,4666428260677
01055001028170004; AZUAY;01;02817;0004;3;2;MANDARINA;6;8;CANASTA;8;FRUTA FRESCA; ; ; ; ;8;MANDARINA;,0290909090909091; ;TOTAL NACIONAL;99,4666428260677
01055001028170006; AZUAY;01;02817;0006;1;1;OTROS PERMANENTES;1;20;UNIDAD;,15;SIN ESTADO; ; ; ; ;20;OTROS PERMANENTES;,00136363636363636; ;TOTAL NACIONAL;37,4360497460255
01056201028290002; AZUAY;01;02829;0002;1;1;MANZANA;5;5;CANASTA;15;FRUTA FRESCA; ; ; ; ;5;MANZANA;,0340909090909091; ;TOTAL NACIONAL;31,1662884967133
01056201028290002; AZUAY;01;02829;0002;1;2;PIMIENTA DULCE;4;2;CANASTA;7;GRANO SECO; ; ; ; ;2;OTROS PERMANENTES;,00636363636363636; ;TOTAL NACIONAL;31,1662884967133
01056201028290002; AZUAY;01;02829;0002;1;3;OTROS PERMANENTES;2;2;GALON;6;SIN ESTADO; ; ; ; ;2;OTROS PERMANENTES;,00545454545454545; ;TOTAL NACIONAL;31,1662884967133
01056201028290003; AZUAY;01;02829;0003;3;1;LIMON;2;200;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;200;LIMON;,0181818181818182; ;TOTAL NACIONAL;65,2915768773204
01056201028290003; AZUAY;01;02829;0003;3;2;AGUACATE;1;300;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;300;AGUACATE;,0272727272727273; ;TOTAL NACIONAL;65,2915768773204
01056201028290005; AZUAY;01;02829;0005;1;1;LIMON;2;3;BALDE;6;FRUTA FRESCA; ; ; ; ;3;LIMON;,00818181818181818; ;TOTAL NACIONAL;105,97091172973
01056201028290005; AZUAY;01;02829;0005;2;2;DURAZNO (MELOCOTON);1;3;BALDE;6;FRUTA FRESCA; ; ; ; ;3;DURAZNO (MELOCOTON);,00818181818181818; ;TOTAL NACIONAL;60,1755490406815
01056201028290005; AZUAY;01;02829;0005;2;3;AGUACATE;1;30;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;30;AGUACATE;,00409090909090909; ;TOTAL NACIONAL;60,1755490406815
01056201028290008; AZUAY;01;02829;0008;1;1;OTROS PERMANENTES;10;500;UNIDAD;,2;SIN ESTADO;400;UNIDAD;,2;SIN ESTADO;100;OTROS PERMANENTES;,0454545454545455;,0363636363636364;TOTAL NACIONAL;74,2396873406307
01056201028290008; AZUAY;01;02829;0008;1;2;LIMON;2;150;UNIDAD;,25;FRUTA FRESCA;100;UNIDAD;,25;FRUTA FRESCA;50;LIMON;,0170454545454545;,0113636363636364;TOTAL NACIONAL;74,2396873406307
01056201028290008; AZUAY;01;02829;0008;1;3;OTROS PERMANENTES;2;100;UNIDAD;,3;SIN ESTADO;80;UNIDAD;,3;SIN ESTADO;20;OTROS PERMANENTES;,0136363636363636;,0109090909090909;TOTAL NACIONAL;74,2396873406307
01056201028290009; AZUAY;01;02829;0009;3;1;DURAZNO (MELOCOTON);2;2;BALDE;6;FRUTA FRESCA; ; ; ; ;2;DURAZNO (MELOCOTON);,00545454545454545; ;TOTAL NACIONAL;178,535544396434
01056201028290009; AZUAY;01;02829;0009;3;2;OTROS PERMANENTES;2;3;BALDE;6;SIN ESTADO; ; ; ; ;3;OTROS PERMANENTES;,00818181818181818; ;TOTAL NACIONAL;178,535544396434
01056101030190001; AZUAY;01;03019;0001;5;1;DURAZNO (MELOCOTON);5;10;BALDE;6;FRUTA FRESCA; ; ; ; ;10;DURAZNO (MELOCOTON);,0272727272727273; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;5;3;MANDARINA;1;10;CANASTA;10;FRUTA FRESCA; ; ; ; ;10;MANDARINA;,0454545454545455; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;5;4;CAPULI;3;3;GALON;5;FRUTA FRESCA; ; ; ; ;3;OTROS PERMANENTES;,00681818181818182; ;TOTAL NACIONAL;51,7271895590969
01056101030190001; AZUAY;01;03019;0001;9;2;AGUACATE;1;20;UNIDAD;,3;FRUTA FRESCA; ; ; ; ;20;AGUACATE;,00272727272727273; ;TOTAL NACIONAL;118,418214733694
01055201034770001; AZUAY;01;03477;0001;1;1;MANDARINA;5;1;GAVETA;40;FRUTA FRESCA; ; ; ; ;1;MANDARINA;,0181818181818182; ;TOTAL NACIONAL;368,077462192772
01145001038390002; AZUAY;01;03839;0002;4;1;OTROS PERMANENTES;2;20;UNIDAD;,2;SIN ESTADO; ; ; ; ;20;OTROS PERMANENTES;,00181818181818182; ;TOTAL NACIONAL;80,9272641142695
01145001041930001; AZUAY;01;04193;0001;3;1;DURAZNO (MELOCOTON);3;100;UNIDAD;,16;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00727272727272727; ;TOTAL NACIONAL;22,5658308902556
01145001041930008; AZUAY;01;04193;0008;1;1;DURAZNO (MELOCOTON);5;100;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;100;DURAZNO (MELOCOTON);,00454545454545455; ;TOTAL NACIONAL;78,648557661626
01145001041930008; AZUAY;01;04193;0008;1;2;LIMON;10;200;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;200;LIMON;,0136363636363636; ;TOTAL NACIONAL;78,648557661626
01145001041930008; AZUAY;01;04193;0008;1;3;PERA;1;50;UNIDAD;,15;FRUTA FRESCA; ; ; ; ;50;PERA;,00340909090909091; ;TOTAL NACIONAL;78,648557661626
01055001043540001; AZUAY;01;04354;0001;3;1;AGUACATE;3;300;UNIDAD;,2;FRUTA FRESCA;250;UNIDAD;,2;FRUTA FRESCA;50;AGUACATE;,0272727272727273;,0227272727272727;TOTAL NACIONAL;19,5128067109857
01055001043540001; AZUAY;01;04354;0001;3;2;DURAZNO (MELOCOTON);2;200;UNIDAD;,1;FRUTA FRESCA;150;UNIDAD;,1;FRUTA FRESCA;50;DURAZNO (MELOCOTON);,00909090909090909;,00681818181818182;TOTAL NACIONAL;19,5128067109857
01055001043540001; AZUAY;01;04354;0001;3;3;LIMON;3;250;UNIDAD;,2;FRUTA FRESCA;200;UNIDAD;,2;FRUTA FRESCA;50;LIMON;,0227272727272727;,0181818181818182;TOTAL NACIONAL;19,5128067109857
01055001043540002; AZUAY;01;04354;0002;2;1;CAPULI;3;5;BALDE;4;FRUTA FRESCA; ; ; ; ;5;OTROS PERMANENTES;,00909090909090909; ;TOTAL NACIONAL;63,4571813106697
01055001043540002; AZUAY;01;04354;0002;2;2;DURAZNO (MELOCOTON);2;1;GALON;6;FRUTA FRESCA; ; ; ; ;1;DURAZNO (MELOCOTON);,00272727272727273; ;TOTAL NACIONAL;63,4571813106697
01055001043540003; AZUAY;01;04354;0003;5;1;AGUACATE;4;300;UNIDAD;,25;FRUTA FRESCA;250;UNIDAD;,25;FRUTA FRESCA;50;AGUACATE;,0340909090909091;,0284090909090909;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;2;PERA;3;200;UNIDAD;,25;FRUTA FRESCA;150;UNIDAD;,25;FRUTA FRESCA;50;PERA;,0227272727272727;,0170454545454545;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;3;DURAZNO (MELOCOTON);2;150;UNIDAD;,1;FRUTA FRESCA; ; ; ; ;150;DURAZNO (MELOCOTON);,00681818181818182; ;TOTAL NACIONAL;76,2725084090638
01055001043540003; AZUAY;01;04354;0003;5;4;LIMON;2;100;UNIDAD;,2;FRUTA FRESCA; ; ; ; ;100;LIMON;,00909090909090909; ;TOTAL NACIONAL;76,2725084090638
