Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ap_k1221;ap_capacponedoras;ap_capacreproductoras;ap_capacpollitos;ap_capacavestruces;ap_capacpavos;ap_capaccodornices;ap_k1222;ap_k1223;ap_k1224;ap_k1225;ap_k1226;ap_k1227;ap_ctponedoras;ap_ctreproductoras;ap_ctpollitos;ap_ctavestruces;ap_ctpavos;ap_ctcodornices;ap_k1230;ap_cons_gapo;ap_cons_gare;ap_cons_polli;ap_cons_avest;ap_cons_pavos;ap_cons_codor;ap_vcar_gapo;ap_vcar_gare;ap_vcar_polli;ap_vcar_avest;ap_vcar_pavos;ap_vcar_codor;ap_vpie_gapo;ap_vpie_gare;ap_vpie_polli;ap_vpie_avest;ap_vpie_pavos;ap_vpie_codor;ap_k1237;ap_k1238;ap_k1239;ap_k1240;ap_k1241;ap_mesesrecoge;ap_existe_hcodor;ap_prod_hcodor;ap_cons_hcodor;ap_venta_hcodor;ap_otros_hcodor;ap_vacuna_aves;ap_enfermedad_aves;ap_trs;ap_trc;ap_tro;ap_znd;ap_tn;ap_total;ap_k051231;ap_k051232;ap_k051233;ap_k051234;ap_k051235;ap_k051236;ap_vengapo;ap_autogapo;ap_vengarep;ap_autogarep;ap_venpoypo;ap_autopoypo;ap_venavest;ap_autoavest;ap_venpavos;ap_autopavos;ap_vencodorn;ap_autocodorn;avesp_existencia;avesp_ventas;avesp_autoconsumo;fact_exp_fin
01135101000330001; AZUAY;01;00033;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;21,4198406548485
01135101000339999; AZUAY;01;00033;9999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;47,4878000058173
01015701001030001; AZUAY;01;00103;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;32,1932866406613
01015701001030002; AZUAY;01;00103;0002; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;53,1396873140867
01135101001690001; AZUAY;01;00169;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;46,3808897776247
01135101001699999; AZUAY;01;00169;9999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;38,7790959416577
01055601002640001; AZUAY;01;00264;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;28,7411991214647
01055601002640002; AZUAY;01;00264;0002; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;8,88769261076341
01055601002930001; AZUAY;01;00293;0001; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;49,6586342681885
01055601002930002; AZUAY;01;00293;0002; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ; ; ;NO;Ninguno;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Existencia;Ventas;Autoconsumo;27,9681610795966
