Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cg_vive_predio_pr;cg_terredensm;cg_dista_pre_viv;cg_k100;cg_k101;cg_se_define;cg_k102;cg_segsoccam;cg_dispo_comp;cg_dispo_tlfint;cg_dispo_internet;cg_superficie;cg_unidadmedida;sup_ha;edad_rango;instrucción;grupo1;Productor
01015101094429999; AZUAY;01;09442;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,2;HECTÁREAS;,2; No informa;NINGUNA;Menor a 1 hectárea;2
01015103004380002; AZUAY;03;00438;0002;NO; ;30;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;5;HECTÁREAS;5; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015103004389999; AZUAY;03;00438;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;9,13;HECTÁREAS;9,13; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015164000991175; AZUAY;64;00099;1175;NO; ;2,29;HOMBRE;60;MESTIZO;POSGRADO;NO;NO;NO;NO;,01;HECTÁREAS;,01;entre 55 y 64 años;POSGRADO;Menor a 1 hectárea;2
01015201148580009; AZUAY;01;14858;0009;SI;SI; ;MUJER;20;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,01;HECTÁREAS;,01; entre 15 y 24 años;SECUNDARIA;Menor a 1 hectárea;2
01015201148589999; AZUAY;01;14858;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,39;HECTÁREAS;,39; No informa;NINGUNA;Menor a 1 hectárea;2
01015201150910001; AZUAY;01;15091;0001;NO; ;2;HOMBRE;55;MESTIZO;SECUNDARIA;NO;SI;SI;SI;10,68;HECTÁREAS;10,68;entre 55 y 64 años;SECUNDARIA;De 10 hectáreas a menos de 20 hectáreas;2
01015201150910003; AZUAY;01;15091;0003;NO; ;3;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;10,45;HECTÁREAS;10,45; No informa;NINGUNA;De 10 hectáreas a menos de 20 hectáreas;2
01015201156290002; AZUAY;01;15629;0002;NO; ;24;HOMBRE;70;OTRO;NINGUNA;NO;NO;NO;NO;1,2;HECTÁREAS;1,2;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201156290004; AZUAY;01;15629;0004;NO; ;2;MUJER;43;MESTIZO;PRIMARIA;NO;NO;NO;NO;2,21;HECTÁREAS;2,21; entre 35 y 44años;PRIMARIA;De 2 hectáreas a menos de 3 hectáreas;2
01015201160130003; AZUAY;01;16013;0003;NO; ;30;HOMBRE;71;MESTIZO;PRIMARIA;NO;NO;NO;NO;2,26;HECTÁREAS;2,26;65 años y más;PRIMARIA;De 2 hectáreas a menos de 3 hectáreas;2
01015201160138888; AZUAY;01;16013;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;3,76;HECTÁREAS;3,76; No informa;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
01015201160139999; AZUAY;01;16013;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,34;HECTÁREAS;,34; No informa;NINGUNA;Menor a 1 hectárea;2
01015201164918888; AZUAY;01;16491;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6,8;HECTÁREAS;6,8; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015201164919999; AZUAY;01;16491;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,18;HECTÁREAS;,18; No informa;NINGUNA;Menor a 1 hectárea;2
01015201168760001; AZUAY;01;16876;0001;NO; ;4,5;MUJER;70;MESTIZO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16;65 años y más;NINGUNA;Menor a 1 hectárea;2
01015201168760002; AZUAY;01;16876;0002;SI;NO;7,1;MUJER;70;MESTIZO;NINGUNA;NO;NO;NO;NO;1,02;HECTÁREAS;1,02;65 años y más;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201168760003; AZUAY;01;16876;0003;NO; ;4,35;HOMBRE;65;MESTIZO;NINGUNA;NO;NO;NO;NO;2,42;HECTÁREAS;2,42;65 años y más;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
01015201168760004; AZUAY;01;16876;0004;SI;NO;4,5;HOMBRE;55;MESTIZO;NINGUNA;NO;NO;NO;NO;1,81;HECTÁREAS;1,81;entre 55 y 64 años;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015201168760005; AZUAY;01;16876;0005;SI;NO;24,3;MUJER;77;MESTIZO;NINGUNA;NO;NO;NO;NO;3,52;HECTÁREAS;3,52;65 años y más;NINGUNA;De 3 hectáreas a menos de 5 hectáreas;2
01015201168760006; AZUAY;01;16876;0006;NO; ;4,1;MUJER;55;MESTIZO;SECUNDARIA;NO;NO;NO;NO;,16;HECTÁREAS;,16;entre 55 y 64 años;SECUNDARIA;Menor a 1 hectárea;2
01015201172420003; AZUAY;01;17242;0003;NO; ;25;MUJER;57;MESTIZO;PRIMARIA;NO;NO;NO;NO;5,19;HECTÁREAS;5,19;entre 55 y 64 años;PRIMARIA;De 5 hectáreas a menos de 10 hectáreas;2
01015201172420004; AZUAY;01;17242;0004;NO; ;25;HOMBRE;70;MESTIZO;NINGUNA;NO;NO;NO;NO;,87;HECTÁREAS;,87;65 años y más;NINGUNA;Menor a 1 hectárea;2
01015201172429999; AZUAY;01;17242;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,4;HECTÁREAS;,4; No informa;NINGUNA;Menor a 1 hectárea;2
01015201172458888; AZUAY;01;17245;8888;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;6;HECTÁREAS;6; No informa;NINGUNA;De 5 hectáreas a menos de 10 hectáreas;2
01015201173200003; AZUAY;01;17320;0003;NO; ;999,99;HOMBRE;45;MESTIZO;NINGUNA;NO;NO;NO;NO;2,2;HECTÁREAS;2,2; entre 45 y 54años;NINGUNA;De 2 hectáreas a menos de 3 hectáreas;2
01015201173209999; AZUAY;01;17320;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,16;HECTÁREAS;,16; No informa;NINGUNA;Menor a 1 hectárea;2
01015301082480001; AZUAY;01;08248;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;576;HECTÁREAS;576; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015301084289999; AZUAY;01;08428;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,3;HECTÁREAS;,3; No informa;NINGUNA;Menor a 1 hectárea;2
01015301086289999; AZUAY;01;08628;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;1,08;HECTÁREAS;1,08; No informa;NINGUNA;De 1 hectárea a menos de 2 hectáreas;2
01015301086520001; AZUAY;01;08652;0001;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;576;HECTÁREAS;576; No informa;NINGUNA;Mayor a 200 hectáreas;2
01015301090949999; AZUAY;01;09094;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,4;HECTÁREAS;,4; No informa;NINGUNA;Menor a 1 hectárea;2
01015301094299999; AZUAY;01;09429;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,03;HECTÁREAS;,03; No informa;NINGUNA;Menor a 1 hectárea;2
01015601057940001; AZUAY;01;05794;0001;NO; ;25;HOMBRE;57;MESTIZO;SUPERIOR;NO;NO;NO;NO;59,98;HECTÁREAS;59,98;entre 55 y 64 años;SUPERIOR;De 50 hectáreas a menos de 100 hectáreas;2
01015601057949999; AZUAY;01;05794;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,02;HECTÁREAS;,02; No informa;NINGUNA;Menor a 1 hectárea;2
01015701004349999; AZUAY;01;00434;9999;SI;SI; ;HOMBRE;99;OTRO;NINGUNA;NO;NO;NO;NO;,72;HECTÁREAS;,72; No informa;NINGUNA;Menor a 1 hectárea;2
