Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ct_numl;rc_clacul;ct_numt;ct_k504;ct_k505;ct_prepa_suelo;ct_k506;ct_k507;ct_k508;ct_k509;ct_k510ha;ct_k511ha;ct_k512;ct_k516;ct_k517;ct_k518;ct_k520;ct_afecta_prod;ct_k522;ct_k523;ct_k524;ct_k526;ct_venmernac;ct_venmerint;ct_vencenacop;ct_rdproven1;ct_rdproven2;ct_rdproven3;ct_rdproven4;ct_rdproven5;ct_rdproven6;ct_sdrenaje;ct_psdrenaje;ct_presueuti;ct_riego;ct_superf_regada_ha;ct_porc_surc;ct_porc_aspe;ct_porc_micr;ct_porc_gote;ct_porc_nebu;ct_porc_otro;ct_aferti;ct_forg;ct_cant1_fo;ct_umed1_fo;ct_cant2_fo;ct_umed2_fo;ct_cant3_fo;ct_umed3_fo;ct_fqui;ct_cantidad_npk_fq;ct_umed_npk_fq;ct_cantidad_nit_fq;ct_umed_nit_fq;ct_cantidad_fq;ct_umed_fq;ct_cantidad_pot_fq;ct_umed_pot_fq;ct_apliplagui;ct_porg;ct_cantidad_po;ct_umed_po;ct_pqui;ct_cantidad_her_pq;ct_umed_her_pq;ct_color_her_pq;ct_cantidad_ins_pq;ct_umed_ins_pq;ct_color_ins_pq;ct_cantidad_fun_pq;ct_umed_fun_pq;ct_color_fun_pq;ct_cantidad_pq;ct_umed_pq;ct_color_pq;ct_trabocacont;ct_trabfami;ct_piensasem_int;ct_supersem_int;ct_supersemha_int;ct_messiem_int;ct_condcult_int;ct_codcultiv1_int;ct_codcultiv2_int;ct_prod;ct_nclavr;ct_trs;ct_trc;ct_tro;ct_znd;ct_tn;superdida;ct_sequia;ct_helada;ct_plagas;ct_enfermedades;ct_inundacion;ct_otra;ct_secomun;ct_semejorada;ct_secertificada;ct_sehibrinac;ct_sehibrinter;ct_sriego;su_fertilizada;su_plaguicidas;Ventas;ct_nuevacondicion;fact_exp_fin
01135101001690001; AZUAY;01;00169;0001;1;MAIZ SUAVE SECO (GRANO SECO);7;2;1;2;1;11;24;7;,03;,03; ;1;QUINTAL;100;GRANO SECO;2; ; ; ; ; ; ; ;,6;,39; ; ;,01; ;2; ;2;SI;,03; ;100; ; ; ; ;SI;SI;250;LIBRA; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;,03;,03;OCTUBRE;2;MAIZ SUAVE SECO (GRANO SECO);FREJOL SECO (GRANO SECO);,0454545454545455;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,03; ; ; ; ;,03;,03; ; ;ASOCIADO;45,7953626890481
01135101001690001; AZUAY;01;00169;0001;2;FREJOL SECO (GRANO SECO);7;2;1;2;1;11;24;7;,03;,03; ;3;ARROBA;25;GRANO SECO;2; ; ; ; ; ; ; ;1;1,99; ; ;,01; ;2; ;2;SI;,03; ;100; ; ; ; ;SI;SI;250;LIBRA; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;,0340909090909091;FREJOL SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,03; ; ; ; ;,03;,03; ; ;ASOCIADO;45,7953626890481
01055601002930001; AZUAY;01;00293;0001;1;MAIZ SUAVE SECO (GRANO SECO);1;2;1;2;1;11;24;8;,03;,03; ;1;ALMUD;30;GRANO SECO;2; ; ; ; ; ; ; ;,45; ; ;,3;,25; ;2; ;4;NO; ; ; ; ; ; ; ;SI;SI;1,5;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;,03;,03;NOVIEMBRE;2;MAIZ SUAVE SECO (GRANO SECO);FREJOL SECO (GRANO SECO);,0136363636363636;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,03; ; ; ; ; ;,03; ; ;ASOCIADO;164,1553580448
01055601002930001; AZUAY;01;00293;0001;2;FREJOL SECO (VAINA SECA);1;2;1;2;1;11;24;8;,03;,03; ;9;GALON;5;VAINA SECA;2; ; ; ; ; ; ; ;2,45;6; ;,3;,25; ;2; ;4;NO; ; ; ; ; ; ; ;SI;SI;1,5;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;,0122727272727273;FREJOL SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,03; ; ; ; ; ;,03; ; ;ASOCIADO;164,1553580448
01055601002930002; AZUAY;01;00293;0002;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;11;24;8;,21;,21; ;2;QUINTAL;100;GRANO SECO;2; ; ; ; ; ; ; ;,13;1,5; ;,25;,12; ;2; ;3;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;,21;,21;NOVIEMBRE;1;MAIZ SUAVE SECO (GRANO SECO); ;,0909090909090909;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,21; ; ; ; ; ; ; ; ;SOLO;,568886493031653
01055601002930003; AZUAY;01;00293;0003;1;MAIZ SUAVE SECO (GRANO SECO);1;1; ;2;1;11;24;8;,09;,09; ;,5;QUINTAL;100;GRANO SECO;6; ; ; ; ; ; ; ;,2;,15; ; ;,15; ;2; ;1;NO; ; ; ; ; ; ; ;SI;SI;9;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;,09;,09;NOVIEMBRE;1;MAIZ SUAVE SECO (GRANO SECO); ;,0227272727272727;MAIZ SUAVE SECO (GRANO SECO);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,09; ; ; ; ; ;,09; ; ;SOLO;71,4584644858093
01055601013720002; AZUAY;01;01372;0002;1;ARVEJA TIERNA (VAINA);2;1; ;2;1;7;24;1;,15;,15; ;2;QUINTAL;100;VAINA;6;2;QUINTAL;100;VAINA;100; ;2; ; ; ; ; ; ;2; ;4;NO; ; ; ; ; ; ; ;SI;SI;,33;QUINTAL; ; ; ; ;SI;,33;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ; ; ; ; ; ; ;,03;QUINTAL;AZUL; ; ;1;,15;,15;ENERO;1;ARVEJA TIERNA (VAINA); ;,0909090909090909;ARVEJA TIERNA (VAINA);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,15; ; ; ; ; ;,15;,15;,0909090909090909;SOLO;27,2117372500141
01055601013720002; AZUAY;01;01372;0002;2;ARVEJA TIERNA (VAINA);2;1; ;2;1;1;25;6;,15;,15; ;2;QUINTAL;100;VAINA;6;2;QUINTAL;100;VAINA;100; ;2; ; ; ; ; ; ;2; ;4;NO; ; ; ; ; ; ; ;SI;SI;,33;QUINTAL; ; ; ; ;SI;,33;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ; ; ; ; ; ; ;,03;QUINTAL;AZUL; ; ;1;,15;,15;JUNIO;1;ARVEJA TIERNA (VAINA); ;,0909090909090909;ARVEJA TIERNA (VAINA);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,15; ; ; ; ; ;,15;,15;,0909090909090909;SOLO;27,2117372500141
01055601013720002; AZUAY;01;01372;0002;3;ARVEJA TIERNA (VAINA);2;1; ;2;1;6;25;12;,15;,15; ;2;QUINTAL;100;VAINA;6;2;QUINTAL;100;VAINA;100; ;2; ; ; ; ; ; ;2; ;4;NO; ; ; ; ; ; ; ;SI;SI;,33;QUINTAL; ; ; ; ;SI;,33;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ; ; ; ; ; ; ;,03;QUINTAL;AZUL; ; ;1;,15;,15;DICIEMBRE;1;ARVEJA TIERNA (VAINA); ;,0909090909090909;ARVEJA TIERNA (VAINA);REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,15; ; ; ; ; ;,15;,15;,0909090909090909;SOLO;27,2117372500141
01055201014050001; AZUAY;01;01405;0001;1;PAPA;2;1; ;2;1;12;24;5;,07;,07; ;7;QUINTAL;100;TUBERCULO FRESCO;6;6;QUINTAL;100;TUBERCULO FRESCO;100; ;2;,8; ; ; ;,2; ;2; ;3;NO; ; ; ; ; ; ; ;SI;SI;6;QUINTAL; ; ; ; ;SI;2;QUINTAL; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;,07;,07;ABRIL;1;PAPA; ;,318181818181818;PAPA;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,07; ; ; ; ; ;,07; ;,272727272727273;SOLO;92,5388695331489
