Identificador;ual_prov;ual_estr;ual_segm;al_ncues;eu_superficie_ha;eu_k1301;eu_k1302;eu_k1303;eu_k1304;eu_k1305;eu_k1306;eu_k1307;eu_k1308;eu_k1309;eu_k1310;eu_k1311;eu_k1312;eu_trs;eu_trc;eu_tro;eu_znd;eu_tn;fact_exp_fin
01015701001030001; AZUAY;01;00103;0001;8,01;2;1;1;1; ;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,1339583626253
01015701001030002; AZUAY;01;00103;0002;7,02;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,9882921935338
01135101001690001; AZUAY;01;00169;0001;12,84;5;3;2;2;1;1; ; ; ;3;2;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,3086454010241
01055601002640001; AZUAY;01;00264;0001;18,26;3;2;1;1; ;1; ; ; ;2;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;28,3319597035249
01055601002930001; AZUAY;01;00293;0001;7,98;2;1;1;1; ;1; ; ; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,6586342681885
01055601002930002; AZUAY;01;00293;0002;4,39;5;1;4;5;1;4; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,993188429329
01055601002930003; AZUAY;01;00293;0003;1,53;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;50,8620467489901
01015701003450001; AZUAY;01;00345;0001;23;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,9709051166624
01015701004340001; AZUAY;01;00434;0001;16,27;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,8273686338346
01015701005980001; AZUAY;01;00598;0001;60,03;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,55038705024353
01015701005980002; AZUAY;01;00598;0002;3,01;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,8038147647007
01015701005980003; AZUAY;01;00598;0003;4,12;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,818349663924175
01015701007680001; AZUAY;01;00768;0001;11,02;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,7521912586855
01015701007680002; AZUAY;01;00768;0002;10,02;3;3; ;3;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8943782447626
01015701007700001; AZUAY;01;00770;0001;11,01;3;2;1;3;2;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,6433804581543
01015701007700002; AZUAY;01;00770;0002;4,01;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,3874902364196
01015701008530001; AZUAY;01;00853;0001;30,02;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,8977620813869
01015701009630001; AZUAY;01;00963;0001;22,01;2;2; ;2;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,0384250123416
01055201011020001; AZUAY;01;01102;0001;9,21;2;2; ;1;1; ;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;33,5893192701572
01055201011020002; AZUAY;01;01102;0002;20,11;3;2;1;2;1;1;1;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,1917915191752
01055201011020003; AZUAY;01;01102;0003;2,7;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;54,2563201971374
01015701011110001; AZUAY;01;01111;0001;35;3;3; ;3;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,0665947909496
01015701012810001; AZUAY;01;01281;0001;19,03;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,3889026633335
01055601013720001; AZUAY;01;01372;0001;4,72;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;57,9782115694802
01055601013720002; AZUAY;01;01372;0002;1,25;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,0327887562133
01055601013720003; AZUAY;01;01372;0003;4,78;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;56,5020524499859
01055201014050001; AZUAY;01;01405;0001;16,59;2;1;1;2;1;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,0054742425097
01015701014360001; AZUAY;01;01436;0001;,51;1; ;1;1; ;1; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;91,6427803513148
01015701016100001; AZUAY;01;01610;0001;6,01;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,7070791315717
01015701016100002; AZUAY;01;01610;0002;7,41;1;1; ;1;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,2292316459195
