Identificador;ual_prov;ual_estr;ual_segm;al_ncues;fp_numl;rc_clacul;fp_numt;fp_k704;fp_k705;fp_k706ha;fp_k707ha;fp_k708;fp_k709;fp_k710;fp_k711;fp_k712;fp_venmernac;fp_venmerint;fp_prepasuelo;fp_poda;fp_tutoreo;fp_despunte;fp_riego;fp_superf_regada_ha;fp_porc_surc;fp_porc_aspe;fp_porc_micr;fp_porc_gote;fp_porc_nebu;fp_porc_otro;fp_aferti;fp_forg;fp_cant1_fo;fp_umed1_fo;fp_cant2_fo;fp_umed2_fo;fp_cant3_fo;fp_umed3_fo;fp_fqui;fp_cantidad_npk_fq;fp_umed_npk_fq;fp_cantidad_nit_fq;fp_umed_nit_fq;fp_cantidad_fq;fp_umed_fq;fp_cantidad_pot_fq;fp_umed_pot_fq;fp_apliplagui;fp_porg;fp_cantidad_po;fp_umedida_po;fp_pqui;fp_cantidad_her_pq;fp_umed_her_pq;fp_color_her_pq;fp_cantidad_ins_pq;fp_umed_ins_pq;fp_color_ins_pq;fp_cantidad_fun_pq;fp_umed_fun_pq;fp_color_fun_pq;fp_cantidad_pq;fp_umed_pq;fp_color_pq;fp_totrabcont;fp_trabfami;fp_clacu;fp_full_tabaco;fp_tabaco;fp_Bonche;fp_Bouquet;fp_tn;fact_exp_fin
01035063000993807; AZUAY;63;00099;3807;1;ORQUÍDEAS;1;BAJO INVERNADERO;8;3,8;3,8;20000000;180000;FULL TABACO;3600;50;30;70;1;1;1;2;SI;3,8; ; ; ; ;100; ;SI;NO; ; ; ; ; ; ;SI;1600;KILOGRAMO;1440;KILOGRAMO;120;LITRO; ; ;SI;NO; ; ;SI;120;LITRO;AMARILLO;140;LITRO;AMARILLO;140;KILOGRAMO;AZUL;120;KILOGRAMO;VERDE; ; ;OTRAS FLORES PERMANENTES;3600; ; ; ;TOTAL NACIONAL;1
01035063000993807; AZUAY;63;00099;3807;2;ORQUÍDEAS;2;CAMPO ABIERTO;4;,04;,04;5000000;3000;FULL TABACO;15;200;30;70;1;1;1;2;SI;,04; ; ; ; ;100; ;SI;NO; ; ; ; ; ; ;SI;100;KILOGRAMO;90;KILOGRAMO;6;LITRO; ; ;SI;NO; ; ;SI;1;LITRO;AMARILLO;1,5;LITRO;AMARILLO;1;KILOGRAMO;AZUL;1;KILOGRAMO;VERDE; ; ;OTRAS FLORES PERMANENTES;15; ; ; ;TOTAL NACIONAL;1
01035063000993807; AZUAY;63;00099;3807;3;ORQUÍDEAS;3;CAMPO ABIERTO;3;,16;,16;1000000;40000;FULL TABACO;400;100;30;70;1;1;1;2;SI;,16; ; ; ; ;100; ;SI;NO; ; ; ; ; ; ;SI;300;KILOGRAMO;270;KILOGRAMO;18;LITRO; ; ;SI;NO; ; ;SI;1,8;LITRO;AMARILLO;4,5;LITRO;AMARILLO;3;KILOGRAMO;AZUL;1,8;KILOGRAMO;VERDE; ; ;OTRAS FLORES PERMANENTES;400; ; ; ;TOTAL NACIONAL;1
03065163000993801;CAÑAR;63;00099;3801;1;ROSA;1;BAJO INVERNADERO;15;3;2;240000;1133000;BONCHE;44000;25;15;85;1;1;1;1;SI;3; ; ; ;100; ; ;SI;SI; ; ;6;LIBRA;108;LITRO;SI; ; ;60;LITRO;60;LITRO; ; ;SI;NO; ; ;SI; ; ; ;36;LITRO;VERDE;75;LITRO;VERDE;36;LITRO;VERDE;5;0;ROSA; ; ;44000; ;TOTAL NACIONAL;1
03025463000993802;CAÑAR;63;00099;3802;1;ROSA;1;BAJO INVERNADERO;9;7,8;7,8;550000;5500000;FULL TABACO;5500;600;10;90;1;1;1;1;SI;7,8; ; ; ;100; ; ;SI;SI; ; ;1000;LIBRA;2890;LITRO;SI; ; ;1240;KILOGRAMO;1240;KILOGRAMO;13700;KILOGRAMO;SI;NO; ; ;SI;170;LITRO;AZUL;100;LITRO;AZUL;150;LITRO;AZUL; ; ; ;0;0;ROSA;5500; ; ; ;TOTAL NACIONAL;1
04035001038670002;CARCHI;01;03867;0002;1;ROSA;1;BAJO INVERNADERO;2;,22;,22;18000;120000;BONCHE;4784;25;20;80;1;1;1;1;SI;,22;100; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1440;KILOGRAMO;520;KILOGRAMO; ; ;SI;NO; ; ;SI; ; ; ;12;LITRO;AMARILLO; ; ; ;,04;LITRO;AMARILLO; ;2;ROSA; ; ;4784; ;TOTAL NACIONAL;54,8050805188027
04025201082530001;CARCHI;01;08253;0001;1;ROSA;2;BAJO INVERNADERO;3;,2;,2;15000;121875;BONCHE;3900;25;20;80;1;1;1;1;SI;,2; ; ; ;80; ;20;SI;NO; ; ; ; ; ; ;SI;34;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;3,9;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;3900; ;TOTAL NACIONAL;55,0019847672718
04025201082530001;CARCHI;01;08253;0001;2;ROSA;3;BAJO INVERNADERO;2;,4;,4;35000;284975;BONCHE;4100;25;20;80;1;1;1;1;SI;,4; ; ; ;80; ;20;SI;NO; ; ; ; ; ; ;SI;34;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;3,9;LITRO;AZUL; ; ; ; ; ; ; ; ;ROSA; ; ;4100; ;TOTAL NACIONAL;69,9113691617475
04025201082530002;CARCHI;01;08253;0002;1;ROSA;2;BAJO INVERNADERO;2;1;1;80000;750000;FULL TABACO;1350;500;10;90;1;1;1;1;SI;1; ; ; ;100; ; ;SI;SI; ; ;1,5;TONELADA; ; ;SI;1687;KILOGRAMO; ; ; ; ; ; ;SI;SI;36,36;LITRO;SI; ; ; ;73;KILOGRAMO;AZUL;12;KILOGRAMO;AZUL; ; ; ;6;2;ROSA;1350; ; ; ;TOTAL NACIONAL;26,5640189431893
05015901027070004;COTOPAXI;01;02707;0004;1;ROSA;1;BAJO INVERNADERO;7;,32;,32;5333;31998;BONCHE;1216;25;100; ;1;1;1;1;SI;,32; ; ; ;100; ; ;SI;SI; ; ;81108,48; ; ; ;SI; ; ;1205,76;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;,12;LITRO;VERDE; ; ; ; ; ; ; ; ;ROSA; ; ;1216; ;TOTAL NACIONAL;86,9158402085903
