Identificador;ual_prov;ual_estr;ual_segm;al_ncues;ft_numl;rc_clacul;ft_numt;ft_k716;ft_k717;ft_k718;ft_k719;ft_k720ha;ft_k721ha;ft_k722;ft_k723;ft_k724;ft_k725;ft_k726;ft_venmernac;ft_venmerint;ft_prepara_suelo;ft_poda;ft_tutoreo;ft_despunte;ft_riego;ft_superf_regada_ha;ft_porc_surc;ft_porc_aspe;ft_porc_micr;ft_porc_gote;ft_porc_nebu;ft_porc_otro;ft_aferti;ft_forg;ft_cant1_fo;ft_umed1_fo;ft_cant2_fo;ft_umed2_fo;ft_cant3_fo;ft_umed3_fo;ft_fqui;ft_cantidad_npk_fq;ft_umed_npk_fq;ft_cantidad_nit_fq;ft_umed_nit_fq;ft_cantidad_fq;ft_umed_fq;ft_cantidad_pot_fq;ft_umed_pot_fq;ft_apliplagui;ft_porg;ft_cantidad_po;ft_umed_po;ft_pqui;ft_cantidad_her_pq;ft_umed_her_pq;ft_color_her_pq;ft_cantidad_ins_pq;ft_umed_ins_pq;ft_color_ins_pq;ft_cantidad_fun_pq;ft_umed_fun_pq;ft_color_fun_pq;ft_cantidad_pq;ft_umed_pq;ft_color_pq;ft_trabocacont;ft_trabfami;ft_clacu;ft_full_tabaco;ft_tabaco;ft_bonche;ft_bouquet;ft_tn;fact_exp_fin
01056263000993804; AZUAY;63;00099;3804;1;DELPHINIUM  (LACKPUR);1;CAMPO ABIERTO;6;25;10;4;4;240000;30000000;BONCHE;300000;10; ;100;1;1;1;1;SI;4; ; ;1;98;1; ;SI;SI; ; ; ; ;800;LITRO;SI; ; ;24000;KILOGRAMO;24000;KILOGRAMO;3600;KILOGRAMO;SI;NO; ; ;SI; ; ; ;48;LITRO;AZUL; ; ; ; ; ; ; ; ;DELPHINIUM  (LACKPUR); ; ;300000; ;TOTAL NACIONAL;1
05015901056510001;COTOPAXI;01;05651;0001;1;RANUNCULOS;2;BAJO INVERNADERO;5;25;11;2;2;260897;1206897;TABACO;7161;150; ;100;1;1;1;1;SI;2; ; ; ;100; ; ;SI;SI; ; ;77027,67;KILOGRAMO; ; ;SI; ; ;19807,11;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3,43;LITRO;VERDE; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ;7161; ; ;TOTAL NACIONAL;71,1808618036073
05015901056510001;COTOPAXI;01;05651;0001;2;ANÉMONA;3;BAJO INVERNADERO;5;25;11;1,9;1,9;196552;1146552;TABACO;6803;150;0;100;1;1;1;1;SI;1,9; ; ; ;100; ; ;SI;SI; ; ;77027,67;KILOGRAMO; ; ;SI; ; ;19807,11;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3,43;LITRO;VERDE; ; ; ; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ;6803; ; ;TOTAL NACIONAL;27,629738142103
05015901056510001;COTOPAXI;01;05651;0001;3;DELPHINIUM  (LACKPUR);4;BAJO INVERNADERO;5;25;11;1,9;1,9;196552;1146552;TABACO;6803;150;0;100;1;1;1;1;SI;1,9; ; ; ;100; ; ;SI;SI; ; ;77027,64;KILOGRAMO; ; ;SI; ; ;19807,11;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3,43;LITRO;VERDE; ; ; ; ; ; ; ; ;DELPHINIUM  (LACKPUR); ;6803; ; ;TOTAL NACIONAL;5,37148707174753
05015401093850001;COTOPAXI;01;09385;0001;1;OTRAS FLORES TRANSITORIAS;3;BAJO INVERNADERO;1;25;3;30;30;80000;80000;BONCHE;6400;10; ;100;1;1;1;1;SI;30; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;1462;KILOGRAMO;1125;KILOGRAMO; ; ;2100;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;54;KILOGRAMO;VERDE; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;6400; ;TOTAL NACIONAL;,201133503655829
05015401093850001;COTOPAXI;01;09385;0001;2;OTRAS FLORES TRANSITORIAS;3;BAJO INVERNADERO;4;25;6;30;30;80000;80000;BONCHE;6400;10; ;100;1;1;1;1;SI;30; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;1462;KILOGRAMO;1125;KILOGRAMO; ; ;2100;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;54;KILOGRAMO;VERDE; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;6400; ;TOTAL NACIONAL;,201133503655829
05015401093850001;COTOPAXI;01;09385;0001;3;OTRAS FLORES TRANSITORIAS;3;BAJO INVERNADERO;7;25;9;30;30;80000;80000;BONCHE;6400;10; ;100;1;1;1;1;SI;30; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;1462;KILOGRAMO;1125;KILOGRAMO; ; ;2100;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;54;KILOGRAMO;VERDE; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;6400; ;TOTAL NACIONAL;,201133503655829
05015401093850001;COTOPAXI;01;09385;0001;4;OTRAS FLORES TRANSITORIAS;3;BAJO INVERNADERO;10;25;12;30;30;80000;80000;BONCHE;6400;10; ;100;1;1;1;1;SI;30; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI;1462;KILOGRAMO;1125;KILOGRAMO; ; ;2100;KILOGRAMO;SI;NO; ; ;SI; ; ; ; ; ; ;54;KILOGRAMO;VERDE; ; ; ; ; ;OTRAS FLORES TRANSITORIAS; ; ;6400; ;TOTAL NACIONAL;,201133503655829
05065001098460019;COTOPAXI;01;09846;0019;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;3;,04;,04;24000;18000;BONCHE;1800;10;40;60;1;1;1;1;SI;,04; ; ; ;100; ; ;SI;SI;4;QUINTAL; ; ; ; ;SI; ; ;12;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;2;LITRO;AZUL; ; ; ;,5;LITRO;AMARILLO; ;4;OTRAS FLORES TRANSITORIAS; ; ;1800; ;TOTAL NACIONAL;,822519780490031
05065001098460019;COTOPAXI;01;09846;0019;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;4;25;6;,04;,04;24000;18000;BONCHE;1800;10;40;60;1;1;1;1;SI;,04; ; ; ;100; ; ;SI;SI;4;QUINTAL; ; ; ; ;SI; ; ;12;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;2;LITRO;AZUL; ; ; ;,5;LITRO;AMARILLO; ;4;OTRAS FLORES TRANSITORIAS; ; ;1800; ;TOTAL NACIONAL;,822519780490031
05065001098460019;COTOPAXI;01;09846;0019;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;7;25;9;,04;,04;24000;18000;BONCHE;1800;10;40;60;1;1;1;1;SI;,04; ; ; ;100; ; ;SI;SI;4;QUINTAL; ; ; ; ;SI; ; ;12;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;2;LITRO;AZUL; ; ; ;,5;LITRO;AMARILLO; ;4;OTRAS FLORES TRANSITORIAS; ; ;1800; ;TOTAL NACIONAL;,822519780490031
05065001098460019;COTOPAXI;01;09846;0019;4;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;10;25;12;,04;,04;24000;18000;BONCHE;1800;10;40;60;1;1;1;1;SI;,04; ; ; ;100; ; ;SI;SI;4;QUINTAL; ; ; ; ;SI; ; ;12;LITRO; ; ; ; ;SI;NO; ; ;SI; ; ; ;2;LITRO;AZUL; ; ; ;,5;LITRO;AMARILLO; ;4;OTRAS FLORES TRANSITORIAS; ; ;1800; ;TOTAL NACIONAL;,822519780490031
05015801107710006;COTOPAXI;01;10771;0006;1;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;1;25;4;,15;,15;27000;27000;BONCHE;2025;10;100; ;1;1;1;1;SI;,15; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;7,5;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL; ; ; ;3;LITRO;AMARILLO; ; ;OTRAS FLORES TRANSITORIAS; ; ;2025; ;TOTAL NACIONAL;23,9956437294959
05015801107710006;COTOPAXI;01;10771;0006;2;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;5;25;8;,15;,15;27000;27000;BONCHE;2025;10;100; ;1;1;1;1;SI;,15; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;7,5;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL; ; ; ;3;LITRO;AMARILLO; ; ;OTRAS FLORES TRANSITORIAS; ; ;2025; ;TOTAL NACIONAL;23,9956437294959
05015801107710006;COTOPAXI;01;10771;0006;3;OTRAS FLORES TRANSITORIAS;1;BAJO INVERNADERO;9;25;12;,15;,15;27000;27000;BONCHE;2025;10;100; ;1;1;1;1;SI;,15; ; ; ;100; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;7,5;KILOGRAMO; ; ; ; ;SI;NO; ; ;SI; ; ; ;3;LITRO;AZUL; ; ; ;3;LITRO;AMARILLO; ; ;OTRAS FLORES TRANSITORIAS; ; ;2025; ;TOTAL NACIONAL;23,9956437294959
