Identificador;ual_prov;ual_estr;ual_segm;al_ncues;gv_superficie_ha;gv_k1001;gv_k1002;gv_k1003;gv_trs;gv_trc;gv_tro;gv_znd;gv_tn;fact_exp_fin
01055601002930001; AZUAY;01;00293;0001;7,98;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,6586342681885
01055201011020003; AZUAY;01;01102;0003;2,7;4; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;54,2563201971374
01135201017240001; AZUAY;01;01724;0001;11,53;2;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;27,1582036988485
01135201022300001; AZUAY;01;02230;0001;6,05;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,0250043768097
01056101024340007; AZUAY;01;02434;0007;3,08;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,3257351246505
01056201024900001; AZUAY;01;02490;0001;4,43;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,3506099814135
01056201024910009; AZUAY;01;02491;0009;4,43;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;14,880084477627
01055001025040006; AZUAY;01;02504;0006;2,02;4;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,60307908119
01055001028170002; AZUAY;01;02817;0002;2,45;4;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;41,103403613187
01055001028170005; AZUAY;01;02817;0005;1,21;6;2;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,3405922077535
01056201028290003; AZUAY;01;02829;0003;,59;4;4; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;62,781606280417
01056201028290007; AZUAY;01;02829;0007;2,65;8; ;8;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,28914200151982
01056101030190001; AZUAY;01;03019;0001;3,81;5;2;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,2247886591125
01015701031020003; AZUAY;01;03102;0003;79,97;6; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,163808886860668
01015701031020004; AZUAY;01;03102;0004;12,52;5; ;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,44786989332387
01015701031020012; AZUAY;01;03102;0012;,84;6; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,1306657074141
01015701031020013; AZUAY;01;03102;0013;,76;3;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,71811720765946
01125001033490002; AZUAY;01;03349;0002;4,11;10; ;10;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,4070474049031
01135001033610003; AZUAY;01;03361;0003;37,12;6; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,19169357634661
01135001033620001; AZUAY;01;03362;0001;37,12;6; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,7923495949976
01055201034770001; AZUAY;01;03477;0001;2,91;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;72,245896577467
01145001041930001; AZUAY;01;04193;0001;1,97;3; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,719168538802
01055001043540001; AZUAY;01;04354;0001;1,18;8;3;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,154004769256
01055001043540005; AZUAY;01;04354;0005;2,9;30;7;23;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,9981235718149
01015701046750001; AZUAY;01;04675;0001;253,3;10;1;9;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,3581950954727
