Identificador;ual_prov;ual_estr;ual_segm;al_ncues;oe_superficie_ha;oe_k1101;oe_k1102;oe_k1103;oe_k1104;oe_trs;oe_trc;oe_tro;oe_znd;oe_tn;fact_exp_fin
01055601002930001; AZUAY;01;00293;0001;7,98; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,6586342681885
01015701003450001; AZUAY;01;00345;0001;23; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,9709051166624
01015701004340001; AZUAY;01;00434;0001;16,27; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,8273686338346
01015701005980001; AZUAY;01;00598;0001;60,03; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,55038705024353
01015701007680001; AZUAY;01;00768;0001;11,02; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,7521912586855
01015701007680002; AZUAY;01;00768;0002;10,02; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8943782447626
01015701007700001; AZUAY;01;00770;0001;11,01; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;44,6433804581543
01015701008530001; AZUAY;01;00853;0001;30,02; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,8977620813869
01055201011020002; AZUAY;01;01102;0002;20,11; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6,1917915191752
01015701012810001; AZUAY;01;01281;0001;19,03; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;31,3889026633335
01055201016620001; AZUAY;01;01662;0001;19,27;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8141293282164
01056201016780002; AZUAY;01;01678;0002;10,73; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,20892742432227
01135201022300001; AZUAY;01;02230;0001;6,05; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,0250043768097
01135201022300003; AZUAY;01;02230;0003;2,03; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,3814138607488
01056201022750006; AZUAY;01;02275;0006;11,46; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,639955937114578
01015701023160001; AZUAY;01;02316;0001;18,52; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,3166048652292
01015701023250002; AZUAY;01;02325;0002;30,77; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,2996864051544
01056101024340001; AZUAY;01;02434;0001;2,34; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,6264069890537
01056101024340002; AZUAY;01;02434;0002;2,32; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,04990617859075
01056101024340005; AZUAY;01;02434;0005;1,15; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,76662330493561
01056101024340006; AZUAY;01;02434;0006;7,55; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,3652157418811
01056101024340007; AZUAY;01;02434;0007;3,08; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,3257351246505
01056201024900001; AZUAY;01;02490;0001;4,43; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;17,3506099814135
