Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
01015101094420001; AZUAY;01;09442;0001;1;PASTO MIXTO;1;1;1,6;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,6;1,6;72,2313995022096
01015101094420001; AZUAY;01;09442;0001;2;PASTO MIXTO;2;1;,2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,2;,2;88,371775971692
01015101094420002; AZUAY;01;09442;0002;1;PASTO MIXTO;4;1;1,7;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1,7;1,7;59,440272543969
01015101094420003; AZUAY;01;09442;0003;1;PASTO MIXTO;3;1;2,2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,2;2,2;58,4207640628074
01015101094420003; AZUAY;01;09442;0003;2;PASTO MIXTO;5;1;,7;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,7;,7;39,9453132523726
01015101094420004; AZUAY;01;09442;0004;1;PASTO MIXTO;1;1;,31;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,31;,31;71,2086845739943
01015101094420004; AZUAY;01;09442;0004;2;PASTO MIXTO;2;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1;1;23,8932327073294
01015101094420005; AZUAY;01;09442;0005;1;PASTO MIXTO;1;1;,2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,2;,2;47,753280369232
01015101094420005; AZUAY;01;09442;0005;2;PASTO MIXTO;2;1;,07;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,07;,07;73,1967287700727
01015101094420006; AZUAY;01;09442;0006;1;PASTO MIXTO;3;1;,05;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,05;,05;29,9278055834113
