Identificador;ual_prov;ual_estr;ual_segm;al_ncues;su_numl;rc_clacul;su_numt;su_k202ha;su_categoria;su_tenencia;ual_trs;ual_trc;ual_tro;ual_znd;ual_tn;us_k301ha;us_k302ha;us_k303ha;us_k304ha;us_k305ha;us_k306ha;us_k307ha;us_k308ha;us_k309ha;us_k310ha;us_transiha;us_montesha;supertotal;fact_exp_fin
01135101000330001; AZUAY;01;00033;0001;1;MONTES Y BOSQUES NATURALES;1;9;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2,7616; ; ; ;2,7616;2,7616;66,3700908536929
01135101000330001; AZUAY;01;00033;0001;2;MONTES Y BOSQUES NATURALES;2;9;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,7581; ; ; ;,7581;,7581;66,3700908536929
01135101000330001; AZUAY;01;00033;0001;3;OTROS USOS;3;9;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;5,1941; ; ;5,1941;66,3700908536929
01135101000339999; AZUAY;01;00033;9999;1;OTROS USOS;1;,4;OTROS USOS;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;,2862; ; ;,2862;66,3700908536929
01015701001030001; AZUAY;01;00103;0001;1;CACAO CCN51 O RAMILLA (ALMENDRA FRESCA);1;5,5;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,5763; ; ; ; ; ; ; ; ; ; ; ;2,5763;66,3700908536929
01015701001030001; AZUAY;01;00103;0001;2;MONTES Y BOSQUES NATURALES;2;1,5;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;,8191; ; ; ;,8191;,8191;66,3700908536929
01015701001030002; AZUAY;01;00103;0002;1;CACAO CCN51 O RAMILLA (ALMENDRA FRESCA);1;4;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,3235; ; ; ; ; ; ; ; ; ; ; ;3,3235;66,3700908536929
01015701001030002; AZUAY;01;00103;0002;2;MONTES Y BOSQUES NATURALES;2;3;MONTES Y BOSQUES NATURALES;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ;2,2811; ; ; ;2,2811;2,2811;66,3700908536929
01135101001690001; AZUAY;01;00169;0001;1;HUERTO FRUTAL;1;,19;PERMANENTE O PERENNE;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,1819; ; ; ; ; ; ; ; ; ; ; ;,1819;66,3700908536929
01135101001690001; AZUAY;01;00169;0001;2;ALFALFA;2;,11;PASTO CULTIVADO;DUEÑO;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,0932; ; ; ; ; ; ; ;,0932;66,3700908536929
