Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgv_ncmterne;vgv_ncmtoret;vgv_ncmtoros;vgv_nchterne;vgv_nchvacon;vgv_nchvacas;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;subtotal_machos;subtotal_hembras;TOTAL;fact_exp_fin
01055601002930001; AZUAY;01;00293;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;49,6586342681885
01055601002930002; AZUAY;01;00293;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;25,993188429329
01015701003450001; AZUAY;01;00345;0001; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;25,9709051166624
01015701004340001; AZUAY;01;00434;0001; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;34,8273686338346
01015701005980001; AZUAY;01;00598;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;8,55038705024353
01015701005980002; AZUAY;01;00598;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,8038147647007
01015701005980003; AZUAY;01;00598;0003; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;,818349663924175
01015701007680001; AZUAY;01;00768;0001; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;39,7521912586855
01015701007680002; AZUAY;01;00768;0002; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;15,8943782447626
01015701007700001; AZUAY;01;00770;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;44,6433804581543
01015701007700002; AZUAY;01;00770;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,3874902364196
01015701008530001; AZUAY;01;00853;0001; ;5; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;19,8977620813869
01015701009630001; AZUAY;01;00963;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,0384250123416
01055201011020001; AZUAY;01;01102;0001; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;33,5893192701572
01055201011020002; AZUAY;01;01102;0002;6; ; ;7; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6;7;13;6,1917915191752
01015701011110001; AZUAY;01;01111;0001; ;5; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;17,0665947909496
01015701012810001; AZUAY;01;01281;0001; ; ;6; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6; ;6;31,3889026633335
01015701016100001; AZUAY;01;01610;0001; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;43,7070791315717
01055201016620001; AZUAY;01;01662;0001;6;7; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13;2;15;15,8141293282164
01055201016620002; AZUAY;01;01662;0002; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;39,6561292850815
01055201016620003; AZUAY;01;01662;0003; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;38,2067086086689
01056201016780001; AZUAY;01;01678;0001; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;65,9637867718642
01056201016780002; AZUAY;01;01678;0002; ; ; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;9,20892742432227
01056201016780003; AZUAY;01;01678;0003; ;1;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;46,5972889107679
01135201017190002; AZUAY;01;01719;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;6,99123148037495
01135201017240001; AZUAY;01;01724;0001;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;27,1582036988485
01056201019480001; AZUAY;01;01948;0001;3;0;1;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;1;5;22,4782894233672
01056201019480002; AZUAY;01;01948;0002; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;39,5331082063883
01056201019480003; AZUAY;01;01948;0003; ;1; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;16,6309981284109
01135201022300001; AZUAY;01;02230;0001;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;40,0250043768097
01135201022300003; AZUAY;01;02230;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;46,3814138607488
01135201022300004; AZUAY;01;02230;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;85,3628296390197
01056201022750001; AZUAY;01;02275;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;10,1629201619717
01056201022750002; AZUAY;01;02275;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;57,2442033613101
01056201022750003; AZUAY;01;02275;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;68,3069612093454
01056201022750004; AZUAY;01;02275;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;73,5556130866133
01056201022750005; AZUAY;01;02275;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;77,5252516638441
01056201022750006; AZUAY;01;02275;0006; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;,639955937114578
01056201022750007; AZUAY;01;02275;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;17,9036283028321
01015701023160001; AZUAY;01;02316;0001; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;40,3166048652292
01015701023250002; AZUAY;01;02325;0002; ;4;6; ;4;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10;10;20;15,2996864051544
01015701023250003; AZUAY;01;02325;0003;1; ;1; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;4;6;10,1437035821519
01056101024340001; AZUAY;01;02434;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;46,6264069890537
01056101024340002; AZUAY;01;02434;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;1,04990617859075
01056101024340003; AZUAY;01;02434;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;13,2665608571595
01056101024340005; AZUAY;01;02434;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;8,76662330493561
01056101024340006; AZUAY;01;02434;0006; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;42,3652157418811
01056101024340007; AZUAY;01;02434;0007; ; ;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;13,3257351246505
01056101024340008; AZUAY;01;02434;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;3,5081333736952
