Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
01055001025040006; AZUAY;01;02504;0006; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;38,60307908119
01015701031020003; AZUAY;01;03102;0003; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;,163808886860668
01125001033490002; AZUAY;01;03349;0002; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;38,4070474049031
01055201034770001; AZUAY;01;03477;0001;1;0;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;0;2;72,245896577467
01015701046750001; AZUAY;01;04675;0001;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;2,3581950954727
01016601049400002; AZUAY;01;04940;0002; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;25,1481099252052
01016701057660006; AZUAY;01;05766;0006; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;50,115679923864
01055901060980001; AZUAY;01;06098;0001;0;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;2;2;20,2163482911711
01055901060990001; AZUAY;01;06099;0001; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;27,4356083138333
01015801071610011; AZUAY;01;07161;0011; ;1;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;3,45124472439203
01035201075800004; AZUAY;01;07580;0004;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;77,7440086430692
