Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgp_ncventmamen2mes;vgp_ncventmamay2mes;vgp_ncventhemmen2mes;vgp_ncventhemay2mes;vgp_totsacrif;ventasm2m;ventasmy2m;TOTAL;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;fact_exp_fin
01135101001690001; AZUAY;01;00169;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,3086454010241
01015701005980003; AZUAY;01;00598;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,818349663924175
01015701009630001; AZUAY;01;00963;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,0384250123416
01055201016620001; AZUAY;01;01662;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,8141293282164
01015701023160001; AZUAY;01;02316;0001; ;2; ; ;0; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;40,3166048652292
01056101024340002; AZUAY;01;02434;0002; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,04990617859075
01056101024340005; AZUAY;01;02434;0005; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,76662330493561
01056101024340006; AZUAY;01;02434;0006; ;2; ; ; ; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,3652157418811
01056101024340007; AZUAY;01;02434;0007; ;1; ;1; ; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;13,3257351246505
01056101024340008; AZUAY;01;02434;0008; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3,5081333736952
01055001025040006; AZUAY;01;02504;0006; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,60307908119
01056201028290003; AZUAY;01;02829;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;62,781606280417
01056201028290004; AZUAY;01;02829;0004; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;85,8430755101664
01056101030190001; AZUAY;01;03019;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;69,2247886591125
01125001030480001; AZUAY;01;03048;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;52,0645708542698
01125001030480002; AZUAY;01;03048;0002; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;68,8544357845552
01015701031020003; AZUAY;01;03102;0003; ;5; ; ;3; ;5;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,163808886860668
01015701031020013; AZUAY;01;03102;0013; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,71811720765946
01015701031020015; AZUAY;01;03102;0015; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,95534178497075
01015701031030001; AZUAY;01;03103;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,3057232540821
01125001033490001; AZUAY;01;03349;0001; ;2; ; ;0; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;59,8887962122496
01135001033610003; AZUAY;01;03361;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,19169357634661
01135001033620001; AZUAY;01;03362;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;19,7923495949976
01055201034770001; AZUAY;01;03477;0001; ; ; ;8;8; ;8;8;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;72,245896577467
01145001041930001; AZUAY;01;04193;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,719168538802
01145001041930010; AZUAY;01;04193;0010; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,5918037792924
01055001043540001; AZUAY;01;04354;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;64,154004769256
01015901044310004; AZUAY;01;04431;0004; ; ; ; ;3; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;67,4779228420817
01015701045480001; AZUAY;01;04548;0001; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;39,769029140029
01125001047530007; AZUAY;01;04753;0007; ;3; ;3; ; ;6;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,43995325376501
01016601049400002; AZUAY;01;04940;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,1481099252052
01016601049400004; AZUAY;01;04940;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,8914101650226
01016601049400005; AZUAY;01;04940;0005; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20,2715343716992
01135001053250003; AZUAY;01;05325;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,5587084208687
01135001053250004; AZUAY;01;05325;0004; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;70,9779990698329
01135001053250008; AZUAY;01;05325;0008; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4,72001688304426
01125301054980001; AZUAY;01;05498;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,4508230798141
01125301056940001; AZUAY;01;05694;0001;1;1; ; ;1;1;1;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;42,8641591906768
01125301056940003; AZUAY;01;05694;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;32,924686871086
01125301056940004; AZUAY;01;05694;0004; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;38,8444410118032
01016701057660007; AZUAY;01;05766;0007; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;120,660825172014
01016701057660012; AZUAY;01;05766;0012; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;83,840411542923
01016701057660014; AZUAY;01;05766;0014; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;92,0420419959013
01125301058770003; AZUAY;01;05877;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,1854531377631
01125301058770005; AZUAY;01;05877;0005; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;47,6856500867799
01055401059150001; AZUAY;01;05915;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;16,9055531376011
01055401059150003; AZUAY;01;05915;0003; ;1; ; ;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;34,6965650424039
01055401059150004; AZUAY;01;05915;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,0627888281877
01055401059150007; AZUAY;01;05915;0007;10;10;10;10;0;20;20;40;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;71,1086308390746
01035401061660003; AZUAY;01;06166;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;55,4277587695248
01035401064920004; AZUAY;01;06492;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,4443712758507
01035401067610002; AZUAY;01;06761;0002; ; ; ;1;0; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,5131128908772
01035401067610010; AZUAY;01;06761;0010;40; ; ; ;2;40; ;40;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;60,5133608803561
01035401069550002; AZUAY;01;06955;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,4451579977943
01035401069550003; AZUAY;01;06955;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,11374662210466
01035401069550009; AZUAY;01;06955;0009; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;22,5929207232571
01035401069550014; AZUAY;01;06955;0014; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,8418902602708
01035401069550018; AZUAY;01;06955;0018; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,81819326933635
01035401069550019; AZUAY;01;06955;0019; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;75,759826658076
01125301069780002; AZUAY;01;06978;0002;3; ;4; ;1;7; ;7;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15,4258283490454
01055401070470001; AZUAY;01;07047;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2282111076591
01055401070470002; AZUAY;01;07047;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;49,3627550724341
01015801070740001; AZUAY;01;07074;0001; ;2; ; ;2; ;2;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;37,9326684009401
01015801070740007; AZUAY;01;07074;0007; ; ; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;26,2511175139738
01125301074240002; AZUAY;01;07424;0002; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,28200307137617
01035201074300001; AZUAY;01;07430;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;46,2669260583043
01035201075800004; AZUAY;01;07580;0004; ;5; ; ;0; ;5;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;77,7440086430692
01035201075800005; AZUAY;01;07580;0005; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,0742594488817
01035201075800006; AZUAY;01;07580;0006; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;29,4124185879087
01035201075800012; AZUAY;01;07580;0012; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;24,6341384637787
01035201075800013; AZUAY;01;07580;0013; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,48776808700841
01015301084280001; AZUAY;01;08428;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;36,6431634292557
01015301084280002; AZUAY;01;08428;0002; ; ; ;1;1; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;35,2480018120709
01035601085230001; AZUAY;01;08523;0001; ; ; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;25,0097192256007
