Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vm_numl;vm_k821;vm_k822;vm_k823;vm_k824;vm_k825;vm_k826;vm_k827;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;va_nacidos;vm_subtmachos;vm_subthembras;TOTAL;fact_exp_fin
01055601002930001; AZUAY;01;00293;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;49,6586342681885
01055601002930001; AZUAY;01;00293;0001;2;3; ; ;2; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;1;3;49,6586342681885
01055601002930001; AZUAY;01;00293;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;49,6586342681885
01055601002930001; AZUAY;01;00293;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;49,6586342681885
01055601002930001; AZUAY;01;00293;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;49,6586342681885
01055601002930001; AZUAY;01;00293;0001;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;49,6586342681885
01055601002930002; AZUAY;01;00293;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,993188429329
01055601002930002; AZUAY;01;00293;0002;2;1; ; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;25,993188429329
01055601002930002; AZUAY;01;00293;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,993188429329
01055601002930002; AZUAY;01;00293;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,993188429329
01055601002930002; AZUAY;01;00293;0002;5;1; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;25,993188429329
01055601002930002; AZUAY;01;00293;0002;6;4;1; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;1;3;4;25,993188429329
01015701003450001; AZUAY;01;00345;0001;1;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3; ;3;25,9709051166624
01015701003450001; AZUAY;01;00345;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,9709051166624
01015701003450001; AZUAY;01;00345;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,9709051166624
01015701003450001; AZUAY;01;00345;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,9709051166624
01015701003450001; AZUAY;01;00345;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,9709051166624
01015701003450001; AZUAY;01;00345;0001;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;25,9709051166624
01015701004340001; AZUAY;01;00434;0001;1;1; ; ; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;34,8273686338346
01015701004340001; AZUAY;01;00434;0001;2;1;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;34,8273686338346
01015701004340001; AZUAY;01;00434;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;34,8273686338346
01015701004340001; AZUAY;01;00434;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;34,8273686338346
01015701004340001; AZUAY;01;00434;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;34,8273686338346
01015701004340001; AZUAY;01;00434;0001;6;2;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;1;2;34,8273686338346
